RG,SG,Series,Barcode,Date,Caption,General Description,Item,Ordered By,Owber,Colored,Height,Width,Pub/Printer,Condition
1325,000,231,508326,1800,Military Stores,"Military Laboratory, ships Colours or standards, Large stock on hand as Jacks, Ensigns, Pendants, Burgels, Signal - Colours, etc.  Suit every Maritime Nation in the World",,,,FALSE,"17""","10 3/8""",Thomas Pole,Good
1325,000,231,508326,,Military Laboratory,Supplies for small Arms or Cannon,,,,FALSE,"17""","10 1/2""","R. Aitken, #22 Market Street","Fair, reinforced by tape"
1325,000,231,508335,07/19,Notice to Farmers! New Line of Truck Boats,"Line of Packers from Mahon's River and Donah Landing.  Kent County, Delaware to Arch Street Wharf, Philadelphia",,,,FALSE,"18 1/2""","12""","John Hood, Camden, New Jersey","Poor, Torn and stained"
1325,000,231,508329,,Convention Meeting,A meeting of the Convention and Reform Association was held to get views from people about questions of constitutional Reform,,,,FALSE,"12""","9 1/2""",,Poor
1325,000,231,508330,post 09/19/1844,Read and Circulate the Certificates,Statements concerning a man beaten supposedly by Major Stockton,,,,FALSE,"12 1/2""","5 3/4""",,"Poor, stained and torn"
1325,000,231,508329,1878,"An Answer, 2 copies","An answer - To the letter of Non. R. F. Bayard to Hon. William Dean from speech in Senate April 5, 1878, on the Act compelling the Pacific Railroads to pay an amount in opposition to the decision of Supreme Court - revocation rights, privileges, grants and franchises desired or obtained by railroads from the U. S. 2 copies",,,,FALSE,"16 3/4""","5 3/4""",,Fair
1325,000,231,508329,11/22/1876,Register's Order,Granting of Letters Testamentary of estate of John Townsend,,,,FALSE,"12""","9 1/2""",,Fair
1325,000,231,508329,10/12/1869,Causes for Trial and Argument in the Superior Court of the State of Delaware in and for Kent County,"Causes, Plaintiffs, Defendants, Attorney listed for Trial and Argument beginning October 28, 1869",,,,FALSE,"37 1/2""","17 1/2""",,Very poor
1325,000,231,508329,04/15/1865,Proclamation,Mayor Joshua Maris wants the Citizens to observe strictly the laws for the protection of the people. All are to control Passions and suppress emotions and conduct themselves in a manner of merit the respect and admiration of fellow citizens,,,,FALSE,"12 3/4""","18 1/4""",,Poor
1325,000,231,508329,04/13/1865,"Proclamation from Office of Mayor of Wilmington, Delaware","At a meeting of citizens decided to celebrate the victories of the Civil War. April 17th at 12 o'clock noon all places of business be closed - during the remainder of the day. At 12 bells will be rung, all buildings be let in the evening all associations participate in the parade.",,,,FALSE,"18 1/4""","25 1/4""",,Very poor
1302,000,231,508329,03/06/1862,County Treasurer's Statement for the year 1861,"Receipts and Expenses, Taxes and Debts - M. M. Cleaner, County Treasurer",,,,FALSE,"23 3/4""","12 1/4""","Echel, Wilmington",Fair
1325,000,231,508330,02/06/1837,"Public Meeting, on Saturday the 11th. To the Freemen of New Castle County","Public meeting for purpose of expressing your sense of the vote of Friday last, and of re-asserting your fixed determination to persevere unto the end. 2 copies",,,,FALSE,"21 1/4""","13 1/2""",,Good
1302,000,231,508329,01/19/1937,Delaware Journal Extra,Address b y new Governor Cornelius P. Comegys to the Senate and House of Representatives,,,,FALSE,"20 1/2""","11""",,Poor
1325,000,231,508329,02/02/1809,"Wilmington Delaware February 2, 1809",Concern about the country which  has been discussing the War fought in Europe for 17 years.  A letter to the Citizens of Wilmington and also to President Thomas Jefferson by James Titton,,,,FALSE,"13""","8 1/4""",,Poor
1325,000,231,508330,1808,Meeting of the Democratic Republican Citizens of New Castle County in the State of Delaware.,"For agreement of resolutions, relative to our political affairs, as regard the National Government, Presidential election.  2 copies",,,,FALSE,"17 1/2""","10 1/2""",,Good
1325,000,231,508332,11/11/1940,Sheriff's Sale of Valuable Real Estate,"1. Farm one mile west of town of Harrington, adjoining Manlove T. Adams, Benjamin Anderson, William S. Simpson, William Wooten 210 acres. 2. Farm in Mispillion Hundred adjoining Parcel #1 and lands of Joseph B. Cain 94 acres - 2 1/2 story dwelling and out buildings",Farms,Writ of Levari Facias,William W. and Alyce T. Simpson,FALSE,"17 1/4""","12 1/2""",,Fair
1325,000,231,508332,10/31/1980,Sheriff's Sale of Valuable Real Estate,"Parcel of land in Dover lying on West side of Bradford Street, bounded by Lot 88, Bradford Street by lot 86, Designated as lot 87 Known as ""Addition of Silver Lake City""",Land in Dover,Writ of Fi Fa Att. D. S. B.,George Davis and Edith B. Turner,FALSE,"19""","12 1/2""",,Fair
1325,000,231,508332,08/30/1941,Sheriff's Sale of Valuable Personal Property,"Personal Property includes mules, cow, implements, household furniture, trucks, trailer, 10 acres of corn on premises of Paradise Alley",Personal Property,Writ of Fi Fa Att. D. S. B.,George P. and Ethel P. Jones,FALSE,"17 1/4""","12 1/2""",,Good
1325,000,231,508332,12/06/1947,Sheriff's Sale of Valuable Real Estate,"Undivided 1/2 interest in a farm known as ""Cowgill Farm"" on public road from Willow Grove to Petersburg adjoining lands formerly of Bertha Stubbs now of William Dan's. 140 acres. Improvements 2 1/2 story house, barn, grainary and out buildings",Farm,Writ of Venditioni Exponas,Claude L. and Edna D. Draper,FALSE,"18""","12 1/2""",,Good
1325,000,231,508332,03/01/1943,Sheriff's Sale of Valuable Real Estate,"Land in East Dover Hundred, about 1 mile south of Dover, lying on East side of State Highway from Dover to Frederica - Conveyed to Harold T. Moore and wife by deed August 1929",Land,Writ of Levari Facias,Harold T. and Helen B. Moore,FALSE,"19""","12 1/2""",,Good
1325,000,231,508332,08/19/1948,Sheriff's Sale of Valuable Real Estate,"Land on northwesterly side of Nailor Street in Milford, adjoining John A. Nailor, Nailor Street",Land,Writ of Levari Facias,James Lofland and Mildred G. Walls,FALSE,"19""","12 1/2""",,Good
1325,000,231,508332,04/06/1866,Sheriff's Sale,Peter Griffin Sale,,,,FALSE,"8 1/2""","12""","Office of ""The Delawarean"" Dover",Poor
1325,000,231,508332,01/14/1937,Trustee's Sale of Valuable Personal Property,"Sale of personal furniture, horses, pigs etc. and farm equipment",Personal Property,District Court - Bankruptcy,John T. Porter,FALSE,"19""","12 1/2""",,Fair
9026,000,001,386090,,"Thomas Dawson Farm, 1740-1780",artist's rendering of the Dawson farm and buildings.  Location now is the corner of South State Street and Route 13.,,,,TRUE,"11""","17""",Department of Transportation,Good
1325,000,231,508326,ca. 1879,"Still Ahead! Splendid Results! Farmers! Read the following testimonials, and in seeding your wheat this fall, use Walton, Whann & Co's Acid Phosphate, the best and cheapest fertilizer ever sold.  In Fine Order For Drilling!","Testimonials from farmers claiming to have used Walton, Whann and Co's Acid Phosphate, Portraying the benefits of use of said product being advertised for sale.",Acid Phosphate Fertilizer,,,FALSE,"12""","9.5""",,"Poor:  tears, pieces missing from left and right sides, scribble/writing along top edge, Dirt, Damage, acid damage (in Mylar)"
1325,000,231,508336,1861-1865,Rebel Terms of Peace!,"Rallying Pro-Union Statement to the people of Indiana to repel ""Peace Organizations""  Details confederate terms for peace published in the Richmond Enquirer",,,,FALSE,"13.25""","9.5""",,"Torn at edges and top left corner, small amount of dirt, some acid damage"
1325,000,231,508330,01/01/1846,Notice.  A Grand Rally of every Democrat of Appoquinimink Hundred,Call for a Local Meeting to Organize the Anti-Temperance Movement and to Promote a State Convention to Reorganize Laws.,,,,FALSE,16 1/8,11 13/16,,"Dirt damage, small amount of storage damage some Acid damage - edges and corners frayed and slightly torn."
1325,000,231,508330,04/20/1940,Republican Primaries,"Blank from announcing republican primary election date, the republican state convention and ""Two members of the Kent County Republican Committee, one of whom shall be a Woman"" DD Wharton, Chairman Kent Co Republican Committee, William J. Storey, Secretary",,,,FALSE,19 1/2,12 1/2,,"Hanging, Posting Hole at top Center, some fading"
1325,000,231,508330,09/29/1806,"To the Electors of New Castle County, Fellow Citizens:","Propaganda from an ""Independent Voter"" for the construction of a bridge across the Christiana River offer points in favor of a bridge as opposed to ferry service.",,,,FALSE,18 13/16,15 5/16,,"small staining on edges, crease"
1325,000,231,508334,04/23/1851,"Supplement to the ""Delaware Line,"" April 23, 1851 Samuel Townsend's Letter on the late Legislature",Denunciation of the passing of recent temperance legislation introduced by a fanatical temperance third party.  Proposal to form a strongly anti temperance fourth party (2 copies),,,,FALSE,12 7/8,9 3/16,,"Copy 1 - Small amount of foxing, dirt damage, stains, frayed bottom; Copy 2 very small amount of foxing, stains"
1325,000,231,508330,10/1844,"To the Public! Certificate of Geo Powell, Certificate of James J. Wood, Certificate of Stephen Redden, Certificate of Adam Marvel.","Testimonials of the character of William Tharp, Esq., Democratic Candidate for Governor",,,,FALSE,21 3/4,15,,"Poor - Holes throughout, pressure sensitive tape in numerous place, water damage, dirt damage, writing (Ink) damage, numerous stains, small amount of acid damage"
1325,000,231,508330,08/12/1950,Notice Republican Delegate and County Primary Elections,Announcing Dates and times of Delegate and County Primary Elections in Kent County,,,,FALSE,19,12 1/2,,"some acid damage, some dirt damage, fading"
1325,000,231,508329,09/05/1939,Proclamation!,"Sheriff's announcement of a meeting of the Court of Oyer and Terminer in Dover to hear and determine cases of Treason, Murder, Rape, Felonies of Death, and Manslaughters. Grier H. Minner, Sheriff",,,,FALSE,17 15/16,12 1/2,,"Tear at top center for hanging, dirt damage, Ink smears"
1325,000,231,508329,01/23/1948,Proclamation!,"Sheriff's announcement of a meeting of the Court of Oyer and Terminer in Dover to hear and determine cases of Treason, Murder, Rape, Felonies of Death, and Manslaughters. William W. Simpson, Sheriff",,,,FALSE,17 15/16,12 7/16,,"Dirt damage, acid damage at top, a small tear at top center for hanging, pencil scribbles down center"
1325,000,231,508335,09/03/1846,NOTICE!,"Notice for a public meeting about completion of a road from Dover to Dona Landing and a ferry on to Philadelphia, Wm. Cowgill, Sup't",,,,FALSE,7 1/4,9 1/2,,"Fair, spotted stains and dirt, some acid damage"
1325,000,231,508328,1962,1962 Winter Sports Schedule - Dover High School,"Listing of times and dates of boys and girls Sr. varsity and varsity basketball games and of wrestling matches. Coaches: Jim Cluck, Larry Ginsburg, Miss Ida C. Duncan, Mrs. Shirley Turner, Carmen Leto",,,,TRUE,19,12 1/16,,"Numerous Creases, dirt damage, fading, Blue and dark blue ink corrections (writing)"
1325,000,231,508336,01/1943,"State Board of Health Dover, Delaware Dear Teacher,"" Just by KEEPING WELL YOU can help win this war""","World War II era health campaign, A letter from Katherine B. Franklin, Director of Public Health Information, Delaware State Board of Health, explaining to Teachers a Wartime Home front Campaign for Healthy School Children. Includes descriptions of various posters and programs to be implemented in the campaign",,,,TRUE,11,8 1/2,,"Storage damage, rust stain from a paperclip, some creases, corrections in ink"
1325,000,231,508336,1941-1945,Just by KEEPING WELL YOU can help with this war!,"World War II era health campaign, Propaganda poster for WWII home front campaign to promote health among school children. From the Deep Well Crusade of the Institute of Life Insurance Metropolitan Life Insurance Company.",,,,TRUE,15,11,M. L. I. Co Press - T.4239,"Some dirt damage, small amount of foxing"
1325,000,231,508336,1943,Victory through Health - State Board of Health,"World War II era health campaign, Poster promoting Health in School children in WWII Home front Campaign Red Stripes, cut out stars, on a blue background (2 copies)",,,,TRUE,23 11/16,18 1/8,,"Copy 1 fading, dirt damage, upper left corner creased. Copy 2 some scratches, creases in colored portions"
1325,000,231,508336,c 1943,Make Your Child Physically Fit For School,"World War II era health campaign, State Board of Health issued poster promoting Home front Campaign, Red Stripes and cut out stars on a blue background. Del. WPA Art Project",,,,FALSE,23 13/16,17 15/16,,Some Creasing
1325,000,231,508336,c 1943,Strengthen your Defense from Disease be Immunized; Smallpox - Typhoid - Diphtheria,"World War II era health campaign, Home front health campaign poster State Council of Defense Del WPA Art Project, Red Stripes and cut out stars on a blue background. Del. WPA Art Project",,,,TRUE,22 15/16,17 7/8,,"Small amount of creasing, small amount of dirt damage"
1325,000,231,508335,02/22/1861,"Tolls to be paid by vessels navigating the Chesapeake and Delaware Canal, on and after February 22, 1861.","Listing of Freight Shipping and toll rates for steam and sail - powered vessels traveling the C and D Canal. Also includes regulations for vessels allowed entry to the canal and estimated weights of shipped freight. Andrew C. Gray President and Henry V. Lesley, Secretary",,,,FALSE,19 1/2,13 1/2,"Alexander, Caloric Power Book and Job Printer",Photo crease in top let corner
9200,J02,000,503884,08/30/1844,Sheriff's Sale,Informing the public of the sale of a 235 acre farm,235 Acre Farm,Sheriff Alexander Johnson,Nehemiah and Ann Stockly,FALSE,12,11,,Some small holes and mold damage
9200,J02,000,503884,08/30/1844,Sheriff's Sale,Informing the public of the sale of William Whitaker's Land,Land,Sheriff Alexander Johnson,William and Mary Whitaker,FALSE,12,11,,"Some damage on edges, some spotting from mold, rather delicate"
9200,J02,000,503884,01/15/1844,Sheriff's Sale,Gives the public information on the sale of various tracts of land,8 tracts of land,Sheriff Alexander Johnson,James Whitaker,FALSE,18 1/2,12,,"damages to edges, mold damage"
1325,000,231,508332,06/15/1932,"In Bankruptcy, Trustee's Sale of Valuable Real Estate",description of land and terms,Land,"Howard E. Lynch Jr, Trustee",Ernest B. Raughley,FALSE,22,13,"The Capital Printing Co., Dover, Del.","bottom left torn off, many tears"
1325,000,231,508332,06/20/1932,"In Bankruptcy, Trustee's Sale of Valuable Real Estate","3 pieces of land, the third with a house",3 pieces of land and a house,"William J. Storey, Trustee",Eugene M. Sharp,FALSE,22,13,"The Capital Printing Co., Dover, Del.","bottom left torn, many small tears"
1325,000,231,508332,12/20/1939,Trustee's Sale of Valuable Real Estate by Virtue of an order of the Orphan's Court,"description of land, terms of sale, and notice to creditors",land,"William J. Storey, Trustee",,FALSE,19,12.5,,"Good, except for hole from posting"
1325,000,231,508332,05/12/1955,Trustee's Sale of Valuable Real Estate,parcel of land with a two and one-half story brick and stucco dwelling,Land and dwelling,The Farmers Bank,"Jonas Satterfield, Dec'd",FALSE,17,12,,"Good, small hole from posting"
1325,000,231,508332,09/15/1857,An Excellent Farm at Public Sale,"Large and valuable farm, called ""Somerville"", 317 Acres",Farm,Thomas M. Pennington,,TRUE,22.5,16.5,,some folding
1325,000,231,508332,10/25/1952,Public Sale of Real Estate of Mack Roy Chase,Farm of late Mack Roy Chase,Farm and House,"William M. Hope, Atty to Chase Heirs","Mack Roy Chase, Dec'd",FALSE,18,12.5,,"Good, except hole from posting"
1325,000,231,508332,10/14/1961,Public Sale of Valuable Real Estate,"By reason of ill health, I will expose to sale . . . description of land",3 parcels of land,Anna M. Loper,Same,FALSE,19,12.5,,Good
1325,000,231,508332,11/15/1961,Public Sale of Valuable Real Estate of the Late Harry Vane,description of piece of land and the terms of sale,Land,"Harriett V. Kratzer, Executrix","Harry Vane, Dec'd",FALSE,19,12,,Good
1325,000,231,508332,10/14/1961,Notice of Public Sale of Valuable Real Estate of the Late Harry Vane,"Two parcels of land being sold as a single unit, has a tenant",Land,"Harriett V. Kratzer, Executrix","Harry Vane, Dec'd",FALSE,22,12.5,,Some discoloration of bottom
1325,000,231,508332,04/28/1962,Public Sale of Valuable Real Estate,Three parcels of land described with terms of sale,Land,"Henry Ridgely and Herman Brown, Trustees",Clayton and Myrtle Killen,FALSE,22,12.5,,a few small tears
1325,000,231,508332,07/07/1956,Public Sale of Valuable Real Estate,Land and two story frame dwelling house for sale,land and house,,"J. Denny, Paul, Ernest, Dorthory Coudright",FALSE,18,12,,"Good, except hole from posting"
1325,000,231,508332,04/28/1951,Public Sale of Valuable Real Estate,description of land and premises,Land,"Jeanie Ingle, Pauline McKee, etc","Charles M. Wharton, Dec'd",FALSE,19,12,,"Good, except hole from posting"
1325,000,231,508332,08/21/1950,"Public Sale of Valuable Personal Property, Gun Collection","Gun Collection, 1949 Oldsmobile, New Power Money, etc.","Guns, car, household goods",Farmer's Bank,"Ellwood Jenkins, Dec'd",FALSE,19,12.5,,"Good, except hole from posting"
1325,000,231,508332,01/31/1950,Public Sale of Valuable Personal Property,"Household goods include 2 empire tilt top tables, empire table with marble top, tear-drop stand",Furniture and household items,Farmers Bank,"Charles M. Wharton, Dec'd",FALSE,19,12,,"Good, except hole from posting"
1325,000,231,508332,12/14/1943,Public Sale of Valuable Personal Property,"1 pair horses, 1 cow, 1 heifer, 1 sow, 6 pigs, 3 shoats, picture of cow and horse",Livestock and farming implements,,Calvin Clark,FALSE,19,12,,Tear from posting
1325,000,231,508332,09/12/1940,Public Sale of Valuable Personal Property,"Discontinuing farm, selling livestock and implements, picture of cow and horse",Livestock and farming implements,,Clarence Allen,FALSE,19,12,,
1325,000,231,508332,08/09/1952,Public Sale of Valuable Personal Property,"Discontinuing farm, selling livestock and implements, and Chevrolet truck","Livestock, implements, vehicle",James Kenton,Same,FALSE,18,12.5,,Good except tear from posting
1325,000,231,508332,07/08/1944,"Public Sale of Valuable Personal Property, Household Goods","writing desk and bookcase combine, lot of throw rugs, flower pot stands, 2 chemistry sets",Household goods and farming equipment,Charles H. Thompson,Same,FALSE,19,12.5,,tear down center (at top) from posting
1325,000,231,508332,12/07/1868,One Hundred Building Lots for Sale,"The Village of Townsend is 72 feet above tide - water, very healthy",Land,Samuel Townsend,,FALSE,26,21,,"Large tear on right side, some holes"
1325,000,231,508332,06/20/1881,Hotel for Sale,Desirable Hotel Property,Hotel,Samuel Townsend,,FALSE,10,13.5,,"Good, except some discoloration"
1325,000,231,508332,01/10/1877,For Sale! A Coach Shop,"Grounds and premises, 2 thousand dollars, could be fruit drying house",Coach Shop,"Samuel Townsend, Trustee","John Townsend, Dec'd",FALSE,12,9,,Deep fold mark across center
1325,000,231,508332,12/20/1876,For Sale. Valuable Plantationer Farm,"Situated in Somerset County, Maryland, known as ""Peach Blossom""",Farm,,Samuel and Richard Townsend,FALSE,12,9.5,,Dark marks where folded
1325,000,231,508332,01/23/1937,Executor's Sale of Valuable Personal Property,"Property of late Burton Townsend. Living room suits, rugs, chairs, rocking chairs, electric lamps, etc.",Personal Property,Thomas C. Frame,"Burton Townsend, Dec'd",FALSE,19,12,,"Some holes, torn edges"
1325,000,231,508332,07/09/1961,Executor's Sale of Valuable Real Estate,describes 6 pieces of land and terms of sale,Land,Farmers Bank,"Ida S. McGonigal, Dec'd",FALSE,25,18,,"Good, except hole from posting"
1325,000,231,508332,07/07/1956,Executor's Sale of Valuable Real Estate,Describes six pieces of land being sold,Land,"William R. Brown, Executor","James Coudright, Decd",FALSE,20,12.5,,"Good, except holes from posting"
1325,000,231,508332,03/17/1953,Executor's Sale of Valuable Real Estate,Description of land in Dover and terms of sale,Land,Farmers Bank,"Amos Torbert Cole, Decd",FALSE,19,12,,"Good, except holes from posting"
1325,000,231,508332,07/28/1951,Executor's Sale of Valuable Real Estate,Lot of land situated on the east side of Governor's Avenue,Land,"William M. Hope, Executor","Mary A. Moore House, Dec'd",FALSE,16,12,,"Ink a little faded, hole from being posted"
1325,000,231,508332,09/28/1950,Executor's Sale of Valuable Real Estate,4 parcels of land and terms of sale,Land,The Framer's Bank of the State of Delaware,"Ellwood Jenkins, Dec'd",FALSE,19,12,,"Some fading, hole from being posted"
1325,000,231,508332,01/26/1882,"Executor's Sale of Valuable Real Estate, Horses and mules","Gives a list of livestock and crops to be sold, carnages, farming implements","Livestock, crops, etc.",Executors of Samuel Townsend's estate,"Samuel Townsend, Dec'd",FALSE,26,19.5,,"Marks from other broadsides, damage to top right corner"
1325,000,231,508332,08/24/1961,Executor's Sale of Valuable Real Estate,Descriptions of four pieces of land and terms of sale,Land,Farmer's Bank,"Ida S. McGongal, Dec'd",FALSE,28,18,,"Some markings, hole from posting"
1325,000,231,508332,12/15/1877,Sheriff's Sale,Tracts of land situated in Kenton Hundred,Land,"Benjamin F. Blackiston, Sheriff",Henry and Amey Hudson,FALSE,13.5,14,Delawarean Cheap Book & Job Printing Office,"Writing in pencil, damaged by folding"
1325,000,231,508332,02/27/1878,Sheriff's Sale by Virtue of Two Writs of Verditroni Exponas,"One hundred and thirty four acres, two story frame dwelling - house",land and house,"Benjamin F. Blackiston, Sheriff","John Savin, John Griffin, John Rice",FALSE,10.5,14,Delawarean Cheap Book & Job Printing Office,Edges damaged
1325,000,231,508332,12/21/1878,Sheriff's Sale by Virtue of a Writ of Levari Facias,Situated on Commerce Street,,"Benjamin F. Blackiston, Late Sheriff",Joseph e. Worden,FALSE,10.5,14,Delawarean Cheap Book & Job Printing Office,"Large chunk missing from top center, damage from folding"
1325,000,231,508332,01/07/1879,Sheriff's Sale by Virtue of a Writ of Venditioni Exponas,"About one acre of ground, more or less, with no improvements",Land,"Benjamin F. Blackiston, Late Sheriff",Asa S. Clifton,FALSE,10,14,Delawarean Cheap Book & Job Printing Office,Some damage from Folding
1325,000,231,508332,01/07/1879,Sheriff's Sale by Virtue of a Writ of Levari Facias,Five thousand square feet of land with two-story dwelling house with back buildings,Land and Dwelling,"Benjamin F. Blackiston, Late Sheriff",George and Rachel Whitlock,FALSE,10.5,14,Delawarean Cheap Book & Job Printing Office,Lots of damage from folding
1325,000,231,508332,01/11/1879,Sheriff's Sale,"93 acres, one story frame dwelling, carriage house, stables, and small peach orchard",land and buildings,"Benjamin F. Blackiston, Late Sheriff",Mary E. Thompson,FALSE,10,14,Delawarean Cheap Book & Job Printing Office,Damage to edges
1325,000,231,508332,11/19/1891,Sheriff's Sale by Virtue of a Writ of Venditioni Exponas,"Land, one and half story dwelling house and other out buildings, peach orchard",Land and dwellings,"Amos Cole, Sheriff",Joshua E. Short,FALSE,10,13,,"Good, light fold lines"
1325,000,231,508332,11/28/1866,Sheriff's Sale by Virtue of a Writ of Venditioni Exponas,four tracts of land,Land,"S. M. Collins, Sheriff","Rodney Fisher, Dec'd",FALSE,12,13.5,,Mold damage and folding damage
1325,000,231,508332,09/17/1877,Sheriff's Sale,475 acre plantation,Land,"Benjamin F. Blackiston, Sheriff",Enoch and Mary Spruance,FALSE,10.5,14,Delawarean Cheap Book and Job Printing Office,Large tear at top from posting
1325,000,231,508332,03/24/1933,Sheriff's Sale! Of Valuable Real Estate,by virtue of a writ Fi. Fa. At.,Land,"Robert A. Saulsbury, Sheriff",Jennie J. David,FALSE,19,12,"The Capital Printing Co. Dover, DE","Large tear bottom left, damage to edges"
1325,000,231,508332,11/16/1939,Sheriff's Sale! Of Valuable Real Estate,2 pieces of land with their improvements,Land and buildings,"Grier H. Minner, Sheriff",Robert J. Seward,FALSE,19,12.5,,"Good, small hole from posting"
1325,000,231,508332,11/17/1939,Sheriff's Sale! Of Valuable Real Estate,180 acres of land,Land,"Grier H. Minner, Sheriff",William and Rose Robinson,FALSE,19,12,,"Good, small hole from posting"
1325,000,231,508332,11/13/1939,Sheriff's Sale! Of Valuable Real Estate,180 acres of land,Land,"Grier H. Minner, Sheriff",William and Rose Robinson,FALSE,19,12,,"Good, small hole from posting"
1325,000,231,508332,09/05/1939,Sheriff's Sale! Of Valuable Real Estate,A parcel of land and a large concrete block building used as a church,Land and Church,"Grier H. Minner, Sheriff",Union Baptist Church,FALSE,19,12.5,,Some discoloration and hole from posting
1325,000,231,508332,07/29/1940,Sheriff's Sale! Of Valuable Real Estate,"Parcel of land with two story frame dwelling house, large barn and other out buildings",Land and buildings,"Grier H. Minner, Sheriff",Reese B. Jones,FALSE,19,12.5,,"Good, hole from posting"
1325,000,231,508326,1963,The Watson House,Give history of the house. Appears to be an advertisement for Paul J. Nowland and Co.,,,,FALSE,14,8.5,,Some bent corners
1325,000,231,508326,09/07/1908,Labor Day Fair,"For the benefit of the ""Palmer Home"" to be held at Wildcat Manor, ""Come and Bring Your Money""",,,,FALSE,26,19.5,,Some tears along folding lines
1325,000,231,508326,04/01/1878,Office of The Casho Machine Co,Price list of Powers and Machines for 1878,Engines for wagons,,,FALSE,8,5.25,,"Good, some writing on bottom"
1325,000,231,508326,,Wm. G. Philips and Bro.,"List of Prices f Bent Fellowes, turned spokes, etc.",Felloes and Handes,,,FALSE,9,8,,"Damaged edges, written on"
1325,000,231,508326,01/03/1871,Improved Stepladder,"Wm G Phillips has a new, reliable invention, is described and has information on purchase rights",Stepladder,,,FALSE,10,8,,"Damage to edges, discoloration"
1325,000,231,508326,09/28/1871,Now is Your Time to Make Money,Subscriber has returned with a large stock of fall and winter goods usually in first class stores,"Clothes, groceries, hardware",,,TRUE,11.5,6,"Delaware Print, Dover",Torn at bottom
1325,000,231,508326,C 1955,Historic Delaware Home for Sale,"Woodlawn, a 22 room mansion, is for sale, gives brief history and description, 2 copies",Home,,,FALSE,14,8,,Good
1325,000,231,508326,,For Sale,"By Joseph Bringhurst, list of items for sale at his market, many vegetables, fruits and more",Produce and spices,,,FALSE,4.5,3,"Bonfal and Niles, Market Street Wilmington","Fair, in Mylar"
1325,000,231,508326,03/17/1892,"Don't Fail to See The Comedy Drama, Joshua Whitcomb",Gives cast and characters and synopsis,,,,FALSE,10.5,5.5,State Sentinel Print,Some edges torn
1325,000,231,508326,,"Thomas Knott, Dealer in Fruits and Vegetables",Ad for fresh groceries,,,,FALSE,9.25,5.75,"James Printing Rooms, 224 Market Street Wilmington","Discolored, tearing from posting"
1325,000,231,508326,c 1948,"The Lady, A Native Devon Cow","7 years old, belonging to C. P. Holcomb",Cow,Eliza Morrison,C. P. Holcomb,FALSE,10.75,8.5,,Good
1325,000,231,508329,01/02/1807,"United States of America Commonwealth of Massachusetts, Interrogatories","Examination of William Mills regarding the building of a Draw-Bridge, John Hancock is a subscriber for reputation of Mills",,,,FALSE,12.5,15.5,,"Fari, some Ink damage"
1325,000,231,508328,06/30/1864,The Fall of Empires,"Delivered at the Commencement of Georgetown College, by a student from Delaware",,,,FALSE,18,7.5,,"Yellowed, folding damage"
1325,000,231,508328,,University of Delaware Dormitory House Rules,"Notice to students of rules for living in dormitory, allows use of Victoria's",,,,FALSE,11,8.5,,Good
1325,000,231,508329,1865,Order! In view of the terrible calamity which has befallen Country by the Assassination of President Lincoln,A request for citizens to abstain from disorderly assemblies o breaching the peace,,,,FALSE,18,12.5,,Ink damage
1325,000,231,508329,03/05/1828,An ordinance to out home the borrowing a sum of money not exceeding twelve thousand dollars,Approval to borrow money for the purpose of distributing the Brandywine water in Wilmington,,,,FALSE,9,10,office of the Delaware Patriot,"Water damage, frayed edges"
1325,000,231,508329,04/07/1827,"An ordinance for the regulation of the owners, riders and drivers, of Carnages, wagons, carts, Drays and Horses within the Borough of Wilmington","Drivers must stay on right side of street, no racing, no horses at large in street",,,,FALSE,13,8,"A. and H. Wilson, Printers",Some ink damage and frayed edges
1325,000,231,508329,09/10/1805,"By the Corporation of the Borough of Wilmington, A Proclamation",Orders that no vessels are allowed to come to Wilmington from New York due to an out break of disease.,,,,FALSE,13,8.5,H. Niles,Damaged edges and discoloration
1325,000,231,508329,01/01/1855,"Address of the Camers of the ""statesman and Blue Hen's Chicken""",Lyrics to the song with decorative border,,,,FALSE,19,12,Fancy Job Printing,"Very poor, lots of chunks missing around edges and damage from folding"
1325,000,231,508329,,To the Honorable the Legislature of the State of Delaware,A petition from the citizens of New Castle County regarding moving the Seat of Justice for more central and secure location,,,,FALSE,13,8.25,,Damaged edges
1325,000,231,508329,03/25/1895,An Act Prohibiting Livestock from Running at Large in School Districts,"for School districts 20 and 20 1/2, act saying where livestock cannot wander and rules for violators",,,,FALSE,11,5.25,"Henry Eckel, Printer, Vournal Building, 510 Market St.","Fair, some tears"
1325,000,231,508329,11/14/1862,Delaware State Lottery,"Lottery for Internal Improvements in Delaware Sponsored by John A. Morris and Co, Managers (Original Copy)",,,,FALSE,21,6,,Good Except for blue ink smears
1325,000,231,508329,1954,Legal Holidays in the United States,"Lists most National and State Holidays, includes letter to printer from Delaware State Archivist noting omission of some holidays",,,,TRUE,22,17,,"Good, damage from folding"
1325,000,231,508329,10/22/1927,Some Reasons for Navy Day,A reprinted article by P. F. Harrington,,,,FALSE,12,7.5,,Some minor tears
1325,000,231,508329,06/01/1950,New Castle Tercentenary of Dutch Settlement 1651-1951,"Information on the Dutch Settlers, on the Commission, and Celebration (2 Copies)",,,,FALSE,10,6.5,,Good
1325,000,231,508329,10/31/1950,New Castle Tercentenary of Dutch Settlement 1651-1951,Brief history of the Dutch Settlers (2 Copies),,,,FALSE,11,8.5,,Good
