Last Name,First Name,Middle,Prefix/Suffix,Comments,Started Serving,Ended Serving,Elected,GA #,District,County,Party,Office,Position,Ref,Barcode
Case,George,E.,,,1966,1968,,,,,,Sussex County Justice of the Peace,,,
Casey,Andrew,,,,1961,1962,,121,8,NC,R,State Representative,,,
Cassidy,John,J.,,,1907,1909,,,1,NC,,Wilmington City Council,,RG5100 Box 1,131598
Castle,Michael,N.,,,1985,1993,,,,NC,R,Governor,,,
Cathcart,Harry,P.,,,1917,1919,,,12,NC,,Wilmington City Council,,RG5100 Box 1,131598
Caton,John,,,,1765,1768,,,,KC,,State Representative,,,
Caulk,John,,,Elected 1/14/1830,1830,1830,,,,,,State Senator,,,
Caulk,John,,Esq.,,1831,1834,,,,NC,,State Representative,,,
Caulk,Thomas,,,,1845,1846,,,,NC,,State Representative,,,
Caulk,Benjamin,,Esq.,,1871,1872,,,,NC,,State Representative,,,
Causey,Peter,F.,,,1832,1834,,,,KC,,State Representative,,,
Causey,Peter,F.,,,1855,1859,,,,SC,A,Governor,,,
Causey,William,F.,Esq.,,1865,1866,,,,SC,,State Representative,,,
Causey,John,W.,,,1875,1876,,,,SC,,State Senator,,,
Causey,John,W.,,,1877,1878,,,,SC,,State Senator,,,0
Causey,William,R.,,,1883,1887,,,,,,Secretary of State,,Conrad p. 260,
Causey,John,W.,,,1890,1894,,,,,,US Representative,,Conrad p. 262,0
Cavanaugh,William,J.,,,1966,1970,,,,,,Kent County Justice of the Peace,,,
Cavender,Wilson,T.,,,1883,1884,,,,KC,,State Senator,,,
Cavender,Wilson,T.,,,1885,1886,,,,KC,,State Senator,,,0
Caverly,Peter,,,,1798,1798,,,,KC,,State Representative,,,
Caverly,Peter,,,,1807,1816,,,,,,State Auditor,,Conrad p. 260,
Chadwick,J.,D.,,,1929,1930,,102,4,KC,,State Representative,,,
Chamberlain,Palmer,,Esq.,,1841,1842,,,,NC,,State Representative,,,
Chambers,Benjamin,,,,1810,1810,,,,NC,,State Representative,,,
Chambers,John,G.,Esq.,,1851,1854,,,,KC,,State Representative,,,
Chambers,Samuel,,,,1886,1890,,,7,NC,,Wilmington City Council,,RG5100 Box 1,131598
Chandler,Jesse,,,,1818,1819,,,,NC,,State Representative,,,
Chandler,Jesse,,,,1822,1823,,,,NC,,State Representative,,,
Chandler,Benjamin,,,,1830,1830,,,,NC,,State Representative,,,
Chandler,William,,,,1832,1832,,,,NC,,Wilmington City Council,,RG5100 Box 1,131598
Chandler,William,,,,1834,1837,,,,NC,,Wilmington City Council,,RG5100 Box 1,131598
Chandler,William,P.,,,1843,1845,,,,NC,,Alderman; Wilmington,,RG5100 Box 1,131598
Chandler,Abram,,Esq.,,1861,1862,,,,NC,,State Representative,,,
Chandler,Gregg,,,,1864,1869,,,3,NC,,Wilmington City Council,,RG5100 Box 1,131598
Chandler,J.,Poulson,Esq.,,1871,1872,,,,NC,,State Representative,,,
Chandler,Philemma,,,,1876,1880,,,7,NC,,Wilmington City Council,,RG5100 Box 1,131598
Chandler,Swithin,,Dr.,,1879,1880,,,,NC,,State Representative,Speaker,,
Chandler,Swithin,,,,1883,1884,,,,NC,,State Senator,,,
Chandler,Swithin,,,,1885,1886,,,,NC,,State Senator,,,0
Chandler,Swithin,,,,1887,1888,,,,NC,,State Representative,,,
Chandler,William,,,,1901,1902,,,9,NC,,State Representative,,,
Chandler,Ebe,H.,,1 special session 1936,1935,1936,,105,3,SC,R,State Senator,,,
Chandler,Ebe,H.,,,1937,1938,,106,3,SC,,State Senator,,,0
Cheeseman,Ronald,E.,,,1988,,,,,,,New Castle County Justice of the Peace,,,
Chew,Samuel,,Dr.,,1741,,,,,,,Chief Justice,,,
Chipman,William,H.,Esq.,,1891,1892,,,,SC,,State Representative,,,
Chipman,James,T.,,,1917,1918,,96,4,SC,D,State Representative,,,
Chipman,William,T.,Dr.,,1947,1948,,114,9,KC,R,State Representative,Speaker,,
Christie,Andrew,D.,,,1985,,,,,,,Chief Justice,,,
Churchman,George,W.,Esq.,,1859,1862,,,,NC,,State Representative,,,
Clark,James,S,,,,,,,,SC,,Magistrate,,,0
Clark,John,,,Name spelled Clark or Clarke,1794,1799,,,,,,Treasurer,,,
Clark,Robert,,,,1795,1795,,,,,,Chief Clerk of the House,,,0
Clark,Robert,,,,1796,1796,,,,KC,,State Representative,,,
Clark,John,,,,1799,1799,,,,NC,,State Representative,,,
Clark,George,,Jr.,,1800,1801,,,,NC,,State Representative,,,
Clark,George,,,,1802,1802,,,,NC,,State Representative,,,
Clark,?,,,"Replaced Fitzgerald, Conrad has first name as George, Journal has only last name",1806,1806,,,,NC,,State Senator,,"Journal, Conrad p. 264",
Clark,William,,,"History of Delaware 16091888, by T Scharf",1807,1810,,,,,,,,,0
Clark,,,,,1807,1807,,,,,,State Senator,,,0
Clark,,,,,1813,1813,,,,,,State Representative,,,
Clark,George,,,"Elected November 16, 1816",1816,1816,,,,NC,,State Senator,,,0
Clark,John,,,,1817,1820,,,,NC,F,Governor,,,
Clark,George,,,,1817,1817,,,,NC,,State Senator,,,
Clark,George,,,,1818,1818,,,,NC,,State Senator,,,0
Clark,George,,Esq.,,1819,1819,,,,NC,,State Senator,,,0
Clark,Levi,,,,1820,1821,,,,NC,,State Representative,,,
Clark,Nehemiah,,,"History of Delaware 16091888, by T Scharf",1827,1830,,,,,,,,,0
Clark,Jehu,,,,1827,1827,,,,KC,,State Representative,,,
Clark,Theodore,F.,Esq.,,1873,1874,,,,NC,,State Representative,,,
Clark,David,S.,,,1889,1890,,,,KC,,State Representative,,,
Clark,Theodore,F.,,,1899,1900,,,12,NC,,State Representative,,,
Clark,James,B.,,,1899,1900,,,,KC,,State Representative,Speaker,,
Clark,Theodore,F.,,,1899,1900,,,12,NC,,State Representative,Speaker,,
Clark,Theodore,F.,,,1901,1902,,,12,NC,,State Representative,,,0
Clark,Theodore,F.,,,1909,1911,,,,,,State Auditor,,,
Clark,Harry,B.,,,1921,1922,,98,3,KC,D,State Representative,,,
Clark,Robert,Bruce,,,1925,1927,,,4,NC,,Wilmington City Council,,RG5100 Box 1,131598
Clark,William,C.,,,1929,1930,,102,7,NC,R,State Representative,,,
Clark,William,C.,,,1931,1932,,103,7,NC,R,State Representative,,,
Clark,George,R.,,,1935,1935,,105,12,NC,R,State Representative,,,0
Clark,George,R.,,Extraordinary Session,1938,1938,,106,5,NC,R,State Senator,,,
Clark,George,,,,1939,1940,,107,5,,,State Senator,,,0
Clark,George,,,,1941,1942,,108,4,NC,,State Senator,,,0
Clark,George,R.,,1944 Special Session,1943,1944,,109,12,NC,R,State Representative,,,
Clark,Zedoc,F.,,,1947,1948,,114,2,SC,R,State Representative,,,
Clark,Harry,G.,,,1947,1948,,114,6,KC,D,State Representative,,,
Clark,H.,Clifford,,,1955,1956,,118,3,KC,D,State Representative,,,
Clark,H.,Clifford,,,1957,1958,,119,3,KC,D,State Representative,,,0
Clarke,John,,,,1769,,,,,KC,,State Representative,,,
Clarke,Robert,,,,1791,1792,,,,,,Treasurer,,,
Clarke,George,,,,1803,1803,,,,NC,,State Representative,,,
Clarke,John,,,,1811,1812,,,,KC,,State Representative,,,
Clarke,George,,,,1812,1813,,,,NC,,State Representative,,,
Clarke,John,,,,1814,1816,,,,KC,,State Representative,,,
Clarke,George,,,,1823,1823,,,,NC,,State Representative,,,
Clarke,William,J.,,,1855,,,,,,,Treasurer,,,
Clayton,John,,,"History of Delaware 16091888, by T Scharf",1753,1755,,,,,,,,,0
Clayton,Joshua,,,,1789,1793,,,,NC,W,President,,,
Clayton,Joshua,,,,1793,1796,,,,,,Governor,,,
Clayton,John,,,,1795,,,,,,,Chief Justice,,,
Clayton,Joshua,,,January - August,1798,1798,,,,,,US Senator,,"Journal, Conrad p. 260",
Clayton,Thomas,,,,1800,1802,,,,,,Chief Clerk of the House,,,0
Clayton,Thomas,,,,1803,1808,,,,KC,,State Representative,,,
Clayton,Thomas,,,,1808,1810,,,,,,Secretary of State,,Conrad p. 259,
Clayton,Thomas,,,,1808,1808,,,,KC,,State Senator,,,
Clayton,Thomas,,,,1810,1815,,,,,,Attorney General,,,
Clayton,Thomas,,,,1811,1814,,,,KC,,State Representative,,,
Clayton,Thomas,,,,1812,1815,,,,,,US Representative,,Conrad p. 261,0
Clayton,J.,M.,,,1817,1817,,,,,,Chief Clerk of the House,,,0
Clayton,John,M.,,,1820,1824,,,,,,State Auditor,,Conrad p. 260,
Clayton,John,M.,,,1821,1822,,,,,,Chief Clerk of the House,,,0
Clayton,Thomas,,,,1821,1823,,,,,,State Senator,,,
Clayton,Thomas,,,,1822,1822,,,,,,State Senator,,,0
Clayton,Thomas,,,,1823,1823,,,,,,State Senator,,,0
Clayton,John,M.,Esq.,,1824,1824,,,,KC,,State Representative,,,
Clayton,Thomas,,,January - March; Replaced C. A. Rodney,1824,1827,,,,,,US Senator,,"Journal, Conrad p. 261",
Clayton,John,M.,,,1826,1828,,,,,,Secretary of State,,Conrad p. 259,
Clayton,John,M.,,Journal says 1828; Conrad says 1829; March - January,1828,1837,,,,,,US Senator,,"Journal, Conrad p. 261",
Clayton,Thomas,,,,1832,,,,,,,Chief Justice,,,
Clayton,John,M.,,,1837,,,,,,,Chief Justice,,,
Clayton,Thomas,,,Took over for John M. Clayton who resigned; January - March,1837,1847,,,,,,US Senator,,"Journal, Conrad p. 261",
Clayton,John,M.,,,1845,1849,,,,,,,,,
Clayton,John,M.,,Journal says he resigned in 1849; March - February,1845,1849,,,,,,US Senator,,"Journal, Conrad p. 261",
Clayton,John,,,"Resigned in 1849 per Journal, March - November",1853,1856,,,,,,US Senator,,"Journal, Conrad p. 261",
Cleaver,Isaac,G.,,1932 Special Session,1932,1932,,103,13,NC,D,State Representative,,,
Cleaver,Isaac,G.,,,1933,1933,,103,13,NC,D,State Representative,,,
Cleaver,G.,Lester,,Special Session December,1951,1952,,116,13,NC,D,State Representative,,,
Cleland,John,,,,1832,1833,,,,NC,,Wilmington City Council,,RG5100 Box 1,131598
Clement,Josiah,F.,Esq.,,1824,1825,,,,NC,,State Representative,,,
Clement,Josiah,F.,,,1827,1827,,,,NC,,State Representative,,,
Clements,Joel,,Esq.,,1826,1826,,,,KC,,State Representative,,,
Clements,Joel,,Esq.,,1830,1830,,,,KC,,State Representative,,,
Clements,Joel,,Esq.,,1835,1836,,,,KC,,State Representative,,,
Clements,Joel,,Esq.,,1841,1842,,,,KC,,State Representative,,,
Clements,Thomas,,Jr.,,1861,1862,,,,KC,,State Representative,,,
Clements,James,R.,,,1901,1902,,,,KC,,State Senator,,,
Clements,James,R.,,,1903,1904,,,,KC,,State Senator,,,0
Clendaniel,George,B.,,,1901,1902,,,1,SC,,State Representative,,,
Clendaniel,Harry,E.,,,1919,1920,,97,1,SC,R,State Representative,,,
Clendaniel,Harry,E.,,,1921,1922,,98,1,SC,R,State Representative,,,
Clifton,Carlton,,,,1959,1960,,120,1,SC,D,State Representative,,,
Clifton,Carlton,,,,1961,1962,,121,1,SC,D,State Representative,,,
Cloud,Harlan,,Esq.,,1843,1844,,,,NC,,State Representative,,,
Cloud,Harlan,,,,1857,1858,,,,NC,,State Representative,,,
Cloud,Lot,,Esq.,,1871,1872,,,,NC,,State Representative,,,
Clough,William,L.,Esq.,,1873,1874,,,,KC,,State Representative,,,
Clowes,John,,,,1765,,,,,SC,,State Representative,,,
Clowes,John,,,,1767,,,,,SC,,State Representative,,,
Clowes,John,,,,1769,,,,,SC,,State Representative,,,
Cochran,John,T.,,,1816,1816,,,,NC,,State Representative,,,
Cochran,John,,Esq.,,1817,1817,,,,NC,,State Representative,,,
Cochran,Joseph,W.,Esq.,,1817,1817,,,,NC,,State Representative,,,
Cochran,John,T.,,,1818,1818,,,,NC,,State Representative,,,
Cochran,John,T.,Esq.,,1819,1819,,,,NC,,State Representative,,,
Cochran,Richard,E.,Esq.,,1823,1823,,,,NC,,State Representative,,,
Cochran,John,,,,1852,1855,,,4,NC,,Wilmington City Council,,RG5100 Box 1,131598
Cochran,Robert,A.,Esq.,,1861,1862,,,,NC,,State Representative,,,
Cochran,John,P.,,,1875,1879,,,,NC,D,Governor,,,
Cochran,Edwin,R.,Esq.,,1877,1878,,,,NC,,State Representative,,,
Cochran,Edwin,R.,,,1879,1880,,,,NC,,State Representative,,,
Cochran,A.,Woodall,,,1949,1950,,115,14,NC,D,State Representative,,,
Cohee,A.,Tyson,,,1966,1984,,,,,,Kent County Justice of the Peace,,,
Cole,Amos,,,Scharf’s and  History of DE by H Conrad,1890,1892,,,,,,,,,0
Coley,Joseph,W.,,,1888,1890,,,12,NC,,Wilmington City Council,,RG5100 Box 1,131598
Collier,John,,,,1676,1677,,,,,,English Rule Govenor,,Conrad p. 256,0
Collins,Thomas,,,"History of Delaware 16091888, by T Scharf",1764,1767,,,,,,,,,0
Collins,Thomas,,,,1767,1769,,,,KC,,State Representative,,,
Collins,Thomas,,,,1786,1789,,,,NC,W,President,,,
Collins,William,,Jr.,,1799,1799,,,,KC,,State Representative,,,
Collins,John,,,,1820,,,,,,,Governor,,,
Collins,John,,,,1821,1822,,,,SC,D,Governor,,,
Collins,John,A.,Esq.,,1841,1842,,,,KC,,State Representative,,,
Collins,Benjamin,L.,Esq.,,1853,1854,,,,KC,,State Representative,,,
Collins,William,,,,1855,1855,,,,KC,,State Senator,,,
Collins,Henderson,,Jr.,,1861,1862,,,,KC,,State Representative,,,
Collins,William,B.,Esq.,,1875,1876,,,,KC,,State Representative,,,
Collins,John,E.,,,1879,1880,,,,KC,,State Representative,,,
Collins,John,E.,,,1887,1888,,,,KC,,State Senator,Speaker 1887,,
Collins,John,E.,,,1889,1890,,,,KC,,State Senator,,,0
Collins,William,L.,,Died 1917,1917,1917,,96,15,NC,D,State Representative,,,
Collins,Frank,,,,1923,1924,,99,9,NC,D,State Representative,,,
Collins,Peter,S.,,,1941,1943,,,,,,Treasurer,,,
Collins,James,,,,1947,1948,,114,6,SC,R,State Representative,,,
Collins,Clarence,S.,Jr.,Special Session December,1951,1952,,116,1,KC,R,State Representative,,,
Collins,Clarence,S.,Jr.,,1953,1955,,,,KC,R,Treasurer,,,
Collins,Richard,T.,,,1975,1981,,,,,,State Auditor,,,
Collison,Ralph,,,,1949,1950,,115,2,SC,D,State Representative,,,
Colton,Franklin,B.,,,1889,1893,,,5,NC,,Wilmington City Council,,RG5100 Box 1,131598
Colve,Anthony,,,,1673,1673,,,,,,Dutch Rule Governor,,Conrad p. 256,0
Comegys,Cornelius,P.,,,1811,1811,,,,KC,,State Representative,Speaker,,
Comegys,Cornelius,P.,,,1811,1816,,,,KC,,State Representative,,,
Comegys,Cornelius,P.,,,1812,1812,,,,KC,,State Representative,Speaker,,
Comegys,Cornelius,P.,,,1813,1821,,,,,,Treasurer,,,
Comegys,Cornelius,P.,,,1814,1814,,,,KC,,State Representative,Speaker,,
Comegys,Cornelius,P.,,,1815,1815,,,,KC,,State Representative,Speaker,,
Comegys,Cornelius,P.,,,1816,1816,,,,KC,,State Representative,Speaker,,
Comegys,Cornelius,P.,,,1824,1830,,,,,,Treasurer,,,
Comegys,Cornelius,P.,,,1830,1830,,,,KC,,State Representative,,,
Comegys,Cornelius,P.,,,1837,1841,,,,KC,W,Governor,,,
Comegys,Joseph,P.,,,1841,1841,,,,,,Chief Clerk of the House,,,0
Comegys,Joseph,P.,Esq.,,1843,1844,,,,KC,,State Representative,,,
Comegys,Joseph,P.,,,1856,1857,,,,,,,,,
Comegys,Joseph,P.,,November - January,1856,1857,,,,,,US Senator,,Conrad p. 261,0
Comegys,William,A.,,,1883,1886,,,,NC,,State Representative,,,
Comegys,William,A.,,,1885,1886,,,,NC,,State Representative,Speaker,,
Conaway,Curtis,A.,Esq.,,1871,1872,,,,SC,,State Representative,,,
Conaway,Isaac,,,,1879,1880,,,,SC,,State Senator,,,
Conaway,Isaac,,,,1881,1882,,,,SC,,State Senator,,,0
Conaway,James,C.,,,1899,1900,,,4,SC,,State Representative,,,
Conaway,Walter,L.,,,1947,1948,,114,4,SC,D,State Representative,,,
Connaway,Minos,,,,1879,1880,,,,KC,,State Representative,,,
Connelly,William,,,,1903,1904,,,5,NC,,State Representative,,,
Connelly,William,,,,1909,1910,,,5,NC,,State Representative,,,
Connelly,Wm.,N.,,,1917,1918,,96,5,NC,D,State Representative,,,
Conner,James,,,,1867,1870,,,2,NC,,Wilmington City Council,,RG5100 Box 1,131598
Conner,James,,,Conner appointed vice Charles McCluskey in 39th Session,1869,1870,,,4,NC,,Wilmington City Council,,RG5100 Box 1,131598
Conner,Robert,G.,,,1911,1913,,,2,NC,,Wilmington City Council,,RG5100 Box 1,131598
Connor,Alvan,B.,,Name also spelled Conner,1903,1904,,,,KC,,State Senator,,,
Connor,Alvan,B.,,Name also spelled Conner,1905,1906,,,90,KC,,State Senator,President Pro-tem,,0
Connor,Alvan,B.,,Name also spelled Conner,1907,1908,,,91,KC,,State Senator,,,0
Connor,Alvan,B.,,Name also spelled Conner,1909,1910,,,,KC,,State Senator,,,0
Connor,Robert,T.,,,1987,1988,,134,12,NC,,State Senator,,,0
Connor,Robert,T.,,,1989,1990,,135,12,NC,,State Senator,,,0
Connor,Robert,T.,,,1991,1992,,136,12,NC,,State Senator,,,0
Connor,Robert,T.,,,1993,1994,,137,12,NC,,State Senator,,,0
Connor,Robert,T.,,,1995,1996,,138,12,NC,,State Senator,Minority Whip 1995 - 1996,,0
Conoway,Minos,,Esq.,,1893,1894,,,,KC,,State Representative,,,
Conrad,Henry,C.,,,1882,1885,,,,NC,,Wilmington City Council,President 1882-1885,RG5100 Box 1,131598
Conrad,Henry,C.,,,1924,1930,,,,,,State Archivist,,,
Conrad,John,H.,,,1946,1946,,110,2,KC,R,State Representative,,,
Conway,Michael,F.,,,1907,1911,,,10,NC,,Wilmington City Council,,RG5100 Box 1,131598
Conway,John,M.,,,1935,1939,,,12,NC,,Wilmington City Council,,RG5100 Box 1,131598
Conway,John,M.,,,1941,1942,,108,5,NC,D,State Representative,,,
Conwell,Asa,F.,Esq.,,1875,1876,,,,SC,,State Representative,,,
Conwell,Charles,S.,,,1907,1908,,,7,KC,,State Representative,,,
Conwell,Charles,S.,,,1911,1912,,,7,KC,,State Representative,,,
Conwell,Charles,S.,,,1927,1928,,101,7,KC,R,State Representative,,,
Conwell,Luther,S.,Dr.,,1929,1930,,102,7,KC,,State Representative,,,
Cooch,William,,,,1795,1795,,,,NC,,State Representative,,,
Cooch,William,,,,1796,1796,,,,NC,,State Representative,,,
Cooch,William,,,,1802,1802,,,,NC,,State Representative,,,
Cooch,William,,,Resigned 1806,1806,1806,,,,NC,,State Senator,,"Journal, Conrad p. 264",0
Cooch,Levi,G.,,,1847,1848,,,,NC,,State Representative,,,
Cooch,J.,Wilkins,,,1879,1880,,,,NC,,State Senator,,,
Cooch,J.,Wilkins,,,1881,1882,,,,NC,,State Senator,,,0
Cooch,William,,,,1883,1884,,,,NC,,State Representative,,,
Cooch,William,,Esq.,,1893,1894,,,,NC,,State Representative,,,
Cooch,Edward,,,,1937,1938,,106,,,,State Senator,"President, Special Session",,
Cooch,Edward,,,,1939,1940,,107,,,,State Senator,President all years noted,,
Cooch,Edward,,,,1941,1942,,108,,,,State Senator,President all years noted,,0
Cook,John,,,"History of Delaware 16091888, by T Scharf",1772,1778,,,,,,,,,0
Cook,John,,,,1782,1783,,,,KC,W,President,,,
Cook,Robert,,,,1806,1807,,,,KC,,State Representative,,,
Cook,Robert,,Esq.,,1843,1844,,,,KC,,State Representative,,,
Cook,George,,,,1903,1904,,,3,KC,,State Representative,,,
Cook,William,H.,,,1913,1914,,,1,NC,,State Representative,,,0
Cook,William,H.,,,1913,1915,,,2,NC,,Wilmington City Council,,RG5100 Box 1,131598
Cook,George,W.,,,1929,1930,,102,3,KC,,State Representative,,,
Cook,Henry,D.,,,1946,1946,,110,1,SC,R,State Representative,,,0
Cook,Allen,J.,,,1949,1950,,115,3,KC,D,State Representative,,,
Cook,Allen,J.,,Special Session December,1951,1952,,116,3,KC,D,State Representative,,,
Cook,Allen,J,,"State Manuels, RR at Archives",1955,1957,,,,,,,,,0
Cook,Allen,J.,,,1957,1958,,119,2,KC,D,State Senator,,,
Cook,Allen,J.,,,1959,1960,,120,2,KC,,State Senator,President Pro-tem,,0
Cook,Allen,J.,,,1961,1962,,121,2,KC,,State Senator,,,0
Cook,Nancy,W.,,Replaced Allen Cook 2/15/1974,1974,1974,,127,16,KC,D,State Senator,,,
Cook,Nancy,W.,,,1987,1988,,134,15,KC,D,State Senator,,,0
Cook,Nancy,W.,,,1989,1990,,135,15,KC,D,State Senator,,,0
Cook,Nancy,W.,,,1991,1992,,136,15,KC,D,State Senator,,,0
Cook,Nancy,W.,,,1993,1994,,137,15,KC,D,State Senator,,,0
Cook,Nancy,W.,,,1995,1996,,138,15,KC,D,State Senator,,,0
Cooke,Henry,D.,,1944 Special Session; may also be spelled Cook,1943,1944,,109,1,SC,R,State Representative,,,
Cooke,Henry,D.,,May also be spelled Cook,1945,1946,,110,1,SC,R,State Representative,,,
Cool,Ernest,M.,,,1949,1950,,115,7,KC,R,State Representative,,,
Coombe,Samuel,,Esq.,,1824,1825,,,,KC,,State Representative,,,
Cooper,Thomas,,,,1804,1804,,,,SC,,State Representative,,,
Cooper,,,,,1805,1805,,,,,,State Representative,,,
Cooper,Thomas,,,,1806,1808,,,,SC,,State Representative,,,
Cooper,Thomas,,,,1808,1808,,,,SC,,State Senator,,,
Cooper,Thomas,,,,1809,1809,,,,SC,,State Senator,,,0
Cooper,Thomas,,,,1810,1810,,,,SC,,State Senator,,,0
Cooper,Thomas,,,,1811,1811,,,,SC,,State Senator,,,0
Cooper,Thomas,,,,1815,1817,,,,,,,,,
Cooper,Thomas,,,,1815,1817,,,,,,US Representative,,Conrad p. 261,0
Cooper,William,B.,,,1816,1816,,,,SC,,State Representative,,,
Cooper,William,,Esq.,,1817,1817,,,,SC,,State Representative,,,
Cooper,Peter,L.,,,1828,1829,,,,KC,,State Representative,,,
Cooper,Ignatius,T.,,,1832,1832,,,,,,Chief Clerk of the House,,,0
Cooper,Ignatius,T.,Esq.,,1833,1834,,,,KC,,State Representative,,,
Cooper,William,B.,Esq.,,1835,1836,,,,SC,,State Representative,,,
Cooper,Peter,L.,Esq.,,1837,1838,,,,KC,,State Representative,,,
Cooper,Samuel,B.,Esq.,,1839,1840,,,,KC,,State Representative,,,
Cooper,William,B.,,,1841,1845,,,,SC,W,Governor,,,
Cooper,Peter,L.,Esq.,,1867,1868,,,,KC,,State Representative,,,
Cooper,Samuel,B.,Esq.,,1871,1872,,,,KC,,State Representative,,,
Cooper,Peter,L,,"History of Delaware 16091888, by T Scharf",1874,1876,,,,,,,,,0
Cooper,Samuel,B.,,,1881,1882,,,,KC,,State Senator,,,
Cooper,Alexander,B.,,,1883,1884,,,,NC,,State Senator,,,
Cooper,Samuel,B.,,,1883,1884,,,,KC,,State Senator,Speaker 1883,,0
Cooper,William,H.,,,1885,1886,,,,KC,,State Senator,,,
Cooper,Alexander,B.,,,1885,1886,,,,NC,,State Senator,Speaker 1885,,0
Cooper,Ezekiel,T.,,,1887,1887,,,,,,Chief Clerk of the House,,,0
Cooper,William,H.,,,1887,1888,,,,KC,,State Senator,,,0
Cooper,Thomas,O.,Dr.,,1904,1905,,,4,NC,,State Representative,,,
Cooper,T.,O.,Dr.,,1906,1907,,,4,NC,,State Representative,,,
Cooper,Thomas,L.,,,1907,1908,,,6,KC,,State Representative,,,0
Cooper,Thomas,O.,Dr.,,1907,1908,,,4,NC,,State Representative,,,
Cooper,Thomas,O.,Dr.,,1909,1910,,,4,NC,,State Representative,Speaker,,
Cooper,Benjamin,F.,,,1911,1912,,,8,KC,,State Representative,,,
Cooper,Thomas,O.,Dr.,,1911,1912,,,4,NC,,State Representative,Speaker,,
Cooper,Thomas,O.,Dr.,,1913,1914,,,4,NC,,State Representative,Speaker,,
Cooper,J.,W. F.,,,1923,1924,,99,7,KC,D,State Representative,,,
Cooper,Elwood,,,,1931,1932,,103,6,KC,D,State Representative,,,
Cooper,Jesse,S.,,,1945,1947,,,,,,Treasurer,,,
Copes,Isaac,W.,Esq.,,1830,1830,,,,SC,,State Representative,,,
Corbit,Daniel,,,,1827,1827,,,,NC,,State Representative,,,
Corbit,Charles,,Esq.,,1867,1868,,,,NC,,State Representative,,,
Corbit,Alexander,P.,,,1907,1908,,,13,NC,R,State Representative,,,
Corbit,Alexander,P.,,,1909,1910,,,,NC,,State Senator,,,0
Corbit,Alexander,P.,,,1911,1912,,,,NC,,State Senator,,,
Corbit,Alexander,P.,,,1919,1920,,97,13,NC,R,State Representative,Speaker,,0
Corbit,Alexander,P.,,,1921,1922,,98,13,NC,R,State Representative,,,0
Cordrey,John,H.,,,,,,,,,,,,,
Cordrey,Alton,B.,,,1949,1950,,115,6,SC,D,State Representative,,,
Cordrey,Richard,S.,,,1987,1988,,134,20,SC,,State Senator,President Pro-tem,,0
Cordrey,Richard,S.,,,1989,1990,,135,20,SC,,State Senator,President Pro-tem,,0
Cordrey,Richard,S.,,,1991,1992,,136,20,SC,,State Senator,,,0
Cordrey,Richard,S.,,,1993,1994,,137,20,SC,,State Senator,,,0
Cordrey,Richard,S.,,"Majority Whip, President Pro-tem",1995,1996,,138,20,SC,D,State Senator,"U. S. Army; Town Commissioner of Millsboro, etc., President Pro-tem",,
Corley,Roy,F.,,1933 Special Session,1933,1934,,104,,KC,,State Senator,President,,0
Corley,Roy,F.,Dr.,,1935,1936,,105,,KC,,State Senator,President,,0
Correll,Jacob,A.,,,1957,1958,,119,6,NC,R,State Senator,,,
Correll,Jacob,A.,,,1959,1960,,120,6,NC,,State Senator,,,0
Corsano,Frank,J.,,,1935,1957,,,5,NC,,Wilmington City Council,,RG5100 Box 1,131598
Cottingham,Thomas,E.,,,1899,1900,,,3,SC,,State Representative,,,
Coupe,Robert,,,replaced Carl Danberg,2013,,,,,,,"Head, Department of Corrections",,,0
Covell,Leonard,A.,,,1947,1948,,114,4,KC,D,State Representative,,,
Covey,William,O.,Jr.,,1953,1954,,117,2,SC,R,State Senator,,,
Covey,William,O.,Jr.,,1955,1956,,118,2,SC,,State Senator,,,0
Cowgill,William,,Esq.,,1845,1846,,,,KC,,State Representative,,,
Cowgill,Clayton,A.,,,1853,1853,,,,,,Chief Clerk of the House,,,0
Coy,Bud,,,,1931,1932,,103,9,SC,R,State Representative,,,
Craig,William,D.,,1936 Special Session,1936,1936,,105,4,KC,D,State Representative,,,0
Craig,William,D.,,,1937,1938,,106,4,KC,D,State Representative,,,0
Cranston,John,,Esq.,,1891,1892,,,,NC,,State Representative,,,
Crapper,Levin,,,,1765,1769,,,,SC,,State Representative,,,
Craven,Joseph,Donald,,,1955,1959,,,,,,Attorney General,,,
Crawford,John,,Esq.,,1819,1819,,,,NC,,State Representative,,,
Crawford,Alexander,,,,1820,1821,,,,NC,,State Representative,,,
Crawford,Alexander,,,,1827,1827,,,,NC,,State Representative,,,
Crawford,James,V.,,,1883,1884,,,,NC,,State Representative,,,
Cripps,George,W.,,,1967,1973,,,,,,State Auditor,,,
Croll,William,,,,1925,1926,,100,9,KC,D,State Representative,,,
Crompton,William,J.,,,1921,1922,,98,11,NC,D,State Representative,,,
Crompton,William,J.,,11/1923,1923,1923,,99,11,NC,D,State Representative,,,
Crompton,Kathryn,R.,,,1959,1960,,,,,,Chief Clerk of the House,,,0
Cross,Andrew,L.,,,1917,1918,,96,2,NC,R,State Representative,,,
Crossan,Calvin,W.,,,1887,1888,,,,NC,,State Senator,,,
Crossan,Calvin,W.,,,1889,1890,,,,NC,,State Senator,,,0
Crossley,Dudley,,,,1947,1948,,114,3,KC,D,State Representative,,,
Crossley,Dudley,,,,1949,1950,,115,2,KC,D,State Senator,,,
