Input Order,Gen Reference,Title,Description,Dates,Folder,Keywords,Notes
278,228,"State Song ""Our Delaware""",Histories and Biographies,,2,"State Song, Symbols, Our Delaware, George Hynson, Will Brown",
279,228,"State Song ""Our Delaware""",Sheet Music,,3,"State Song, Symbols, Our Delaware",
280,228,"State Song ""Our Delaware""",Legislation and Copyright,,4,"State Song, Symbols, Our Delaware",
281,228,"State Song ""Our Delaware""",Sheet music,,5,"State Song, Symbols, Our Delaware",
282,228,Delaware State Flag,"Miscellaneous notes, pamphlets, newspaper articles",,6,"State Flag, Symbols",
283,228,Delaware State Flag,Official documents and correspondence,,7,"State Flag, Symbols",
284,228,State Seal,"Miscellaneous notes, pamphlets, newspaper articles, illustrations",,8,"State Seal, Symbols",
285,228,State Bird,"Miscellaneous notes, pamphlets, newspaper articles, inllustrations",,9,"State Bird, Symbols, Blue Hen",
286,228,State Flower,"Miscellaneous notes, pamphlets, newspaper articles, illustrations",,10,"State Flower, Symbols, Peach Blossom",
287,228,Delaware Coat of Arms (Official Design),"Miscellaneous notes, pamphlets, newspaper articles, illustrations",,11,State,
288,228,State Fish,"Miscellaneous notes, pamphlets, newspaper articles, illustrations",,12,"State Fish, Symbol, Weakfish",
289,228,Star Spangled Banner (Flag House Square),"Miscellaneous notes, pamphlets, newspaper articles",,13,"State Symbols, Star Spangled Banner",
290,228,State Herb and Fossil,"Miscellaneous notes, pamphlets, newspaper articles",,14,"State Herb, Fossil, Symbols, Sweet Goldenrod, Belemnite",
291,228,State Bug,"Miscellaneous notes, pamphlets, newspaper articles",,15,"State Bug, Symbols, Lady Bug",
292,228,State Tree,"Miscellaneous notes, pamphlets, newspaper articles",,16,"State Tree, Symbols, Holly Tree",
293,228,State Beverage,"Miscellaneous notes, pamphlets, newspaper articles",,17,"State Beverage, Symbols, Drink, Milk",
294,228,Delaware Poems and Songs,"Miscellaneous notes, pamphlets, newspaper articles.  ""Delaware"" sheet music.  ""Itsy Bitsy Delaware""","n.d., 2003, 2004",18,"Poems, Songs, Symbols",
295,228,"""The Delaware Grand March""","Miscellaneous notes, pamphlets, newspaper articles",,19,"Delaware Grand March, Song, Symbols",
296,228,"""We're from the State of Delaware""",Miscellaneous sheet music and notes,,20,"Delaware Music, Symbols",
297,228,Old Time Music 1890-1900,Miscellaneous sheet music and notes,,21,"Song Book, Symbols",
298,228,"Delaware Music, ""Hail Wilmington""",Miscellaneous sheet music and notes,,22,"Hail Wilmington, Delaware Music, Symbols",
299,228,"Delaware Music ""In Dear Old Delaware""",Miscellaneous sheet music and notes,,23,"In Dear Old Delaware, Delaware Music",
300,229,Sussex County,"""A checklist of Sussex County records in the State Archives""",,,Sussex County,
301,230,S.P.C.A. of Delaware,"Pamphlet ""100 Years of Caring, 1873-1973""",1973,,"Society for the Prevention of Cruelty to Animals, SPCA",
302,231,Maryland State House,Brief history of the Maryland State House,,,"Maryland State House, Capital",
303,232,Kings Reigns and Furniture Periods,Kings Reigns and Furniture Periods,,,"Kings Reigns, Furniture Periods",
304,233,Sillimanite (Delaware State Official Mineral),House bill designating Sillimanite as the State Mineral,,,"State Mineral, Sillimanite, Symbols",
305,234,"LeGrange (Penn) House, New Castle",Correspondence regarding the LeGrange House,1937,,"LeGrange House, New Castle",
306,235,Swedes in America,Miscellaneous brochure and pamphlets regarding the Swedish settlements in America,,,"Sweden, Swedes, Swedish Settlement",
307,236,Delaware Day,Delaware Day brochures and pamphlets,,,"Delaware Day, Constitution, Ratification",
308,237,Barratt's Chapel & Museum,"""News and Notes from Friends of Barratt's Chapel,"" 1990; ""A Quarterly Meeting in Barrett's Chapel in May 1841""",1990,,"Barratt's Chapel, Methodist",
309,238,Gilpin Mills,Article on the paper mill of Thomas Gilpin & Co. on the Brandywine,1817,,"Thomas Gilpin, Paper Mills, Manufacturing, Brandywine, Papermaking, Industry",
310,239,"Banks, Smyrna",Miscellaneous correspondence regarding the National Bank of Smyrna,1839-1883,,National Bank of Smyrna,
311,240,School Records Transferred to the Archives,"""A List of the District School Record Books Transferred To The State Archives by the State Board of Education, Dover, June 1936""",1936,,"School Records, Board of Education",
312,241,Town of Townsend,"""An Act to Incorporate the Town of Townsend"".  ""Historic Townsend House Has Checkered Background"" by W. Penn Wilson, 1939.","1885, 1939",,Townsend,
313,242,Delaware's Acre - Valley Forge,"Speech and invitation to the ""Dedicatory Ceremonies"" of the Delaware areas of Valley Forge; Rep. J. Snowden's speech, 1956","1970, 1956",,"Valley Forge, Revolutionary War, Military",
314,243,"Tax Receipts, Misc",Miscellaneous tax receipts,1815-1893,,Tax Receipts,
1851,962,Hockessin,"""Hockessin.""  ""A Visit to Five Historic Homes in the Hockessin Area.""",,,,
1852,963,Yorklyn,"""Yorklyn""",,,,
1853,964,Alexis I. du Pont High School and Middle School,"history of the schools, 1832-2003","1958, 2003",,,
1854,965,First State Heritage Park,Material describing the tour and interpretive program,2006,,,
1855,173,Pennsylvania boundary report,"""Report of the Secretary of Internal Affairs of the Commonwealth of Pennsylvania containing Reports of the Surveys and Re-surveys of the Boundary Lines of the Commonwealth, Accompanied with Maps of the Same.",1887,9,"boundary, Pennsylvania,  Delaware, Mason-Dixon",
1856,48,United States Constitution,"""Dissertation on the Political Union and Constitution of the Thirteen United States of North America""",1783,5,"constitution, John Dickinson, Articles of Confederation",
1857,966,John S. Charlton School,"50th anniversary programs and invitation, including history of the school",2006,,"education, School for Trainables",
1858,173,Delaware Boundary,"The Story of the Pennsylvania, Maryland, Delaware Boundaries by George and Virginia Schaun",1963,10,"boundary, Pennsylvania,  Delaware, Maryland, Mason-Dixon",36 pages
1859,330,Schools - Naming,"Descriptive list of schools named after women.  Includes biographies of Etta J. Wilson, Margaret S. Sterck, Jennie E. Smith, R. Elisabeth Maclary, E. Frances Medill, May Brown Leasure, Carrie Downie",1970-1975,2,,
1860,967,Delaware Small Towns,"""The Future of Small Towns in Delaware,"" by Gerald F. Vaughn, Extension Coordinator, Community and Resource Development, University of Delaware",1968,,,12 pages.
1861,205,Underground Railroad,"""Friends and the Underground Railroad,"" from Quaker History, The Bulletin of Friends Historical Association.",1962,2,"Underground Railroad, slavery, Quaker, Friends",
1862,722,Woodburn,"""Woodburn, The Governor's House, Dover, Delaware.""  Woodburn tour guide notes.",1982,4,"Woodburn, Governor's House",
1863,110,Department of Correction,"Civil List for Department of Corrections, Division of Adult Corrections, and Department of Correction",1956-2007,27,"Civil List, Corrections, Workhouse, prison",
1864,968,Delaware Indians,"""Some Remarks and Annotations concerning the Traditions, Customs, Langwages, &c. of the Indians in North America, from the Memoirs of the Rev. David Leisberger, and other missionaries.""  Includes a list of Delaware words with English translation.  From Proceedings of the Historical Society of Pennsylvania, September 1845.",1845,,"Delaware Indians, vocabulary, missionary, Leisberger,",
1865,180,American Revolution,"""Some Account of the British Army, Under the Command of General Howe and of the Battle of Brandywine.""  From Proceedings of the Historical Society of Pennsylvania, September 1846.  ""A Sermon Delivered by the Rev. Joab Trout on the Eve of the Battle of Brandywine.""  From Collections of the Historical Society of Pennsylvania, May 1851","1846, 1851",4,"Revolutionary War, Battle of Brandywine,",
1866,883,Delaware Court System,"""Delaware's Superior Court: The Beginning"".  Created for 175th anniversary celebration.",2007,2,"Superior Court, Willard Hall, John M. Clayton",
1867,724,"Capitol Buildings Group, Legislative Green",The Delaware Liberty Tree Planting Ceremony program,2007,3,"Legislative Green, Public Buildings, Visitor's Center, Biggs Museum",
1868,386,Elections - Presidential Electors,"Minutes, invitation to inauguration, correspondence",1940,4,"Elections, presidential electors, Franklin D. Roosevelt, Henry Wallace",
1869,623,Civil War Correspondence and Personal Papers,"Nehemiah Griffen Civil War discharge, 1864; Pension Office correspondence, 1920-1921; GAR membership application, 1921.","1864, 1920-1921",2,"Civil War, pension, GAR",
1870,969,Indian River Inlet,"""Indian River Inlet - Delaware's Forgotten Summer Resort"" by Nancy Allwein Nebiker",2007,,Indian River Inlet,5 pages
1871,870,World War II,"Reminiscences of Caroline Abbott, 1992.  Includes her diary for trip to Normandy, 50th anniversary of D-Day, 1994.","1992, 1994",2,"World War II, WWII",
1872,48,Delaware Constitutions,"Transcripts of 1776, 1792, and 1831 constitutions; proposed amendments; proposed 1853 constitution",1776-1859,G,,
1873,970,Clemente's Travel Center,"history of Clemente's Travel Center, near New Castle on U.S. 13",1996,,"Clemente, bus",13 pages
1874,971,Delaware Maritime Hall of Fame,Inaugural Induction program,2007,,"maritime, sailor, Milton Cooper, David Hiott, Robert Senseny, Washington Vickers, John Virden",
1875,110,Deparment of Health and Social Services,Civil List,1970-2001,28,"civil list, cabinet, secretary, DHSS",Agency created from 1969 Gov't Reorganization
1876,870,World War II,"Letter to employees of the E. I. du Pont de Nemours & Company, describing the company's role in production of the atom bomb.  August 24, 1945.",1945,3,"World War II, WWII, du Pont, atomic bomb",
1877,942,School Integration,Claymont High School integration,2007,2,"integration, Claymont High School, Hockessin School, Arden Elementary School, Sarah Bulah,",
1878,656,"Public, Subscription and Community Schools","Millsboro Union School, two weekly reports for Lee Ellis, signed by Henry A. Houston, teacher",1880,12,"schools, education, Millsboro",
1879,667,"Shipwrecks- ""De Braak""","History: Preliminary Report (1986): ""The Smithsonian"", Winter 1967-68, article; Scrapbook w/articles",,2.1,"Shipwrecks, De Braak",
1880,667,"Shipwrecks- ""De Braak""",Articles; pamphlet,,2.3,"Shipwrecks, De Braak",
1881,667,"Shipwrecks- ""Menominee""","Brief account of the unarmed Tugboat, being sunk by a German U-boat.  Casualties brought to Lewes.:  List of Casualties.",1942,5,"German, sinking, Lewes",
1882,667,"Shipwrecks- ""Favorite""",Copy of correspondence from U.S. Treasury Department to Delaware Customs Collector regarding court proceedings.  Donated by patron.,1804 - 1805,6,"Shipwrecks, Delaware Bay",
1883,972,State Medical Examiner,List of votes by the Delaware Medical Society for a State Medical Examiner,ca. 1850,,"Medical Examiner, Delaware Medical Society, Dr. Marshall",
1884,973,Bluewater Wind,Promotional information on the off-shore wind park,2008,,"Bluewater Wind, wind power, renewable energy",4 pages
1885,92,Historic Markers,Light Infantry Company of Dover Memorial/Marker dedication program,2008,2,"Historic Markers, American Revolution",
1886,180,American Revolution,The Delaware Revolutionary War Monument Dedication Ceremonies program and invitation,2008,4,"Revolutionary War, Delaware Continentals, Legislative Hall, Dover",
1887,411,Education,"School Attendence Cards, awarded for monthly perfect attendance.  Includes an illustration and historical notes for various subjects.",1920-1921,4,"Education, school attendence, John G. Townsend, Jr.",
1888,974,Historic Houses,Conventional Delaware Floor Plans to a select twelve histoic houses in the state; Vogl House (Masten's Corner); Noxon House (Noxontown); Aspendale (Symrna); Stockton/Montorency (Greenville),,1,,1 page
1889,256,Motor Vehicle Registration \ Driver's License / License Plates,100th anniversary license plates and history of Delaware license plates,2008,2,license plates,
1890,975,The Delaware Continentals Monument,Information sheet on the statue on the east side of Legislative Hall.  Dedication Ceremonies program.,2008,,"Revolutionary War, Legislative Hall, Delaware Continentals, monument",2 pages
1891,804,Inauguration of Governor Jack A. Markell and Lt. Governor Matthew Denn,"Inauguration speech and programs for swearing-in ceremony, inauguration, interfaith prayer service, and a celebration of the arts","2009, 2013",,"inauguration, Governor, Jack A Markell, Matthew Denn",
1893,668,Lighthouses - Kent County - Smyrna River,Newspaper clipping and illustration of Smyrna River lighthouse also known as the Bombay Hook Lighthouse,,3,"Lighthouse, Navigation, Smyrna River, Bombay Hook",
1894,668,Lighthouses -  Sussex County - Cape Henlopen and Lewes,"Newspaper clippings, articles, pamphlet, copies of photographs relating to the Cape Henlopen Lighthouse, breakwater lighthouses, and the lightship Overfalls",,4,"Lighthouse, Navigation, Lewes, Cape Henlopen, Overfalls Bombay Hook",
1895,668,Lighthouses -  Sussex County - Fenwick Island,Newspaper clippings and research notes on the Fenwick Island lighthouse,,5,"Lighthouse, Navigation, Fenwick Island",
1896,668,Lighthouses -  Sussex County - Mispillion Lighthouse,Newspaper clippings and research notes on the Mispillion lighthouse,,6,"Lighthouse, Navigation, Mispillion",
1897,668,Lighthouses -  New Castle  County,"Newspaper clippings, research notes, copies of photographs, and article on Port Penn Front Range Light, Reedy Island Rear Range Light, Christiana Light, New Castle Front and Rear Lights, Bellevue Range Rear Light, Gordon Heights Light, Baker Range Light",,7,"Lighthouse, Navigation, Port Penn, Reedy Island, Christiana River, New Castle, Bellevue, Gordon Heights, Baker Range Light",
1898,668,Lighthouses -  New Castle  County - Liston Range,"Newspaper clippings, research notes, copies of photographs,  and article on Liston  Front Range Light and Liston Rear Range Light.  Includes ""The Liston Range Front Lighthouse Self Guided Tour,"" informational sheets.",,8,"Lighthouse, Navigation, Liston Range Lights",
1899,668,Lighthouses - Kent County - Port Mahon,Copies of National Archives architectural drawings and plots for the Port Mahon Lighthouse,1831-1907,oversize,"Lighthouse, Navigation, Port Mahon",BC486520
1900,815,Milford School Desegregation,copy of Sussex County Court of Chancery Complaint and Order,1954,2,"School Desegregation, Milford School Board",
1901,579,Rehoboth Beach,"""Revitalizing West Rehoboth: An Economic Development and Community Revitalization Plan For An Historically Black Neighborhood in the Center of Coastal Sussex County""",2009,2,"Rehoboth Beach, African-American, black, economic development",
1902,976,Delaware Photographers,"ad for Holland's Gallery, Wilmington, ca. 1860s-1870s",,,"photograph, photographer",
1903,870,World War II,"Records of Harbor Defense Troops, New York - Philadelphia Sector.  Includes 261st CA, Fort Miles, Fort DuPont, Fort Saulsbury, Fort Delaware.",ca. 1945,4,"World War II, WWII, Fort Miles, Fort dupont, Fort Delaware, Fort Saulsbury",
1904,103,Secretary of State,Secretary's Office seal proof,,,"Secretary of State, Seal",
1905,977,Public Archives of Delaware,"report by Prof. Edgar Dawson in the ""Annual Report of the American Historical Association of the Year 1906"" which describes the poor record keeping in the state and provides an inventory of records in the state",1908,,"Archives, records",20 pages
1906,978,Seaford,"""Sussex, Delaware, An Early History,"" by Richard E. Thek.",1996,,"Seaford, Sussex, Woodland Ferry",
1907,551,Bill of Rights,location of Bill of Rights in other states,2009,4,"Bill of Rights, Ratification",
1908,979,Property Disputes,"Deed research for land between York Beach and Fenwick Island, 1955.  Related newspaper clippings, 1966-1972.","1955, 1966-1972",,"ocean, beach, property",
1909,816,Delaware Aviation Hall of Fame,"list of honorees, 2000-2006; photos and biographies of 2006 honorees.  Dinner programs, 2000-2001.",2000-2006,2,"Transportation, Aviation, hall of fame",
1910,472,Fort Delaware,"""The Prison at Fort Delaware: The Walls, Water, Diseases, and People"" by Dr. William T. Campbell",2009,7,"Fort Delaware, Prison, Civil War, Military, Pea Patch Island, disease",
1911,974,Historic Houses,"""The Other Ross Mansion,"" by Emalu Myer Simpson.  Clement Ross house in Northwest Fork Hundred.  Shoreline newsletter, January 2010",2010,2,"house, Sussex County, Clement Ross",8 pages
1912,980,"Historic Buildings of Newark, Delaware","Paper by Jennifer Yang, Newark High School.  Buildings include Rhodes Pharmacy, Post Office, White Clay Creek Presbyterian Church, Deer Park Hotel, Aetna Hose, Hook and Ladder, Newark Methodist Church, J. Pilling Wright House, and Newark Academy.  Original b&w photos of each building are attached.",n.d.,,"Newark, historic buildings",
1913,981,Moon Rocks- Apollo 11 and Apollo 17,Documentation on the rocks and dust the State of Delaware received from 1969 and 1974 Apollo Moon Missions,"1969, 1975",,"moon, rocks, Apollo",
1914,870,World War II,Account by Marty Levin of the liberation of the Dachau concentration camp,1945,5,"World War II, WWII, Dachau concentration camp, Jew",
1915,785,Peach Growing in Delaware,"""Among the Peaches"", Harper's New Monthly Magazine, September 1870 (photocopy)",1870,2,"Peach Industry, African-Americans, racism,",
1916,358,Civil War,"List of Delaware African-American soldiers and sailors during the Civil War.  Some have notations of where they are buried, unit served with, rank, date mustered in and out, if drafted, if a substitute, place of residence, and other information.",,2,"Civil War, African-American, Colored Troops",
1917,228,State Wildlife Animal,Copy of legislation designating the grey fox as State Wildlife Animal,2010,30,"state symbols, grey fox, wildlife",
1918,228,State Fruit,Copy of legislation designating the strawberry as State Fruit,2010,31,"state symbols, state fruit, strawberry",
1919,228,State Dessert,Copy of legislation designating the peach pie as State Dessert,2009,32,"state symbols, state dessert, peach pie",
315,244,Stone Tavern,"History of the Old Stone Tavern, Little Creek, DE",,,"Old Stone Tavern, Little Creek",
316,245,Fort Miles,"US House Bill ""To Authorize the Secretary of the Army to relinquish to the State of Delaware jurisdiction over any lands within the Fort Miles Reservation located near Lewes, Delaware.""",1962,,"Fort Miles, Military",
317,246,War Memorials,Letter regarding War Memorials in the state of Delaware,1937,,War Memorials,
318,247,Town of New Castle,"Miscellaneous brochures and notes.  Charter from Thomas and Richard Penn incorporating Trustees of New Castle Common, 1764.",,,New Castle,
319,248,17th Century Buildings in Delaware,Letter regarding a list of 17th Century buildings in Delaware,1934,,17th Century Buildings,
320,249,Fisher House,"""A Brief Account of John and Thomas Fisher and of 'White Meadow' The House They Built in Sussex County""",,,"Fisher House, White Meadow, John, Thomas Fisher",
321,249,Recipe for Black Ink,Recipe for black ink,,,"Recipe, Black Ink",
322,250,Hale - Byrnes House,Brief history of the Hale-Byrnes House,,,"Hale, Byrnes House, Cooch's Bridge Memorial",
323,251,Historic American Buildings Survey,Correspondence regarding the Historic American Building Survey,1934-1937,,Historic American Building Survey,
324,252,"New Castle County List of Grist and Saw Mills, 1836",New Castle County list of grist and saw mills,1836,1,"Grist, Saw Mills, New Castle County, Industry, Mills",
325,252,Mills & Milling,"""A notice of the 'Water Power' Grist Mills in Brandywine in the 17th century"" by Jacob B. Vandever.  ""Watermills, Windmills, Horsemills and a Tidemill: Early Colonial Grain Mills in Delaware,"" by C. A. Weslager, 1970.","1866, 1970",2,"Grist Mills, Brandywine Hundred, Jacob Vandever, Mills",
326,253,Magna Carta,Brochure on the Magna Carta,,,Magna Carta,
327,254,Wine & Grape Growing,Two articles concerning grapevines in North America,,,"Wine, Grapes",
328,255,Dover Air Force Base,"Brief history of Dover Air Force Base.  ""B-17G Shoo Shoo Baby: The Restoration Story.""  Lockheed-Georgia C-5B. ""Spirit of the Blue Hen.""",,,"Dover Air Force Base, Military, Blue Hen, World War II",
329,256,Motor Vehicle Registration \ Driver's License / License Plates,1920 Motor Vehicle Registration Card.  1930 Driver's License.,"1920, 1930,",1,"Motor Vehicle Registration Card, Ford Sedan, Driver's license",
330,257,Baynard Hall,Photo and letter regarding Baynard Hall,1984,,"Baynard Hall, Cooch's Bridge",
331,258,Bibliography of Delaware History,,1927,,Bibliography of Delaware History,
332,259,"State of Delaware - List of Physicians, Ministers, Undertakers, Justices of Peace, Vital Statistics, Registration Districts, Local Registrars","State of Delaware - List of Physicians, Ministers, Undertakers, Justices of Peace, Vital Statistics, Registration Districts, Local Registrars",1913,,"Civil Lists, Physicians, Ministers, Undertakers, Justices of the Peace, Vital Statistics",
333,180,American Revolution,"""Delaware During the Revolution as Recorded in Hessian Diaries"" translated by Bruce E. Burgoyne and ""The Role of the Delaware Continentals in the Battle of Camden SC"" by Ralph Nelson",1990,1,"Revolutionary War, Hessians, Bruce Burgoyne,",
334,181,,,,,,
335,182,Military - Officer Registers of the Army of the United States 1855-1866,"""Official Register of the Officers & Cadets of the U.S. Military Academy, West Point, New York""",1865,,"West Point, United States Military Officers",
336,183,New Castle - (Third St. - Wiley - Meyers),"Brief summary of property research performed on the Wiley-Myers Site, Third Street, New Castle",,,"New Castle, Wiley-Myers Site",
337,184,Delaware's Legislative Council,Brochure explaining the history and function of Legislative Council,,,Legislative Council,
338,185,"""Speeches given by Edwin F. Englehart …"" - D-Day Reminiscences","""Speeches given by Edwin Englehart Memorial Day, Monday, May 30, 1994 …""",1994,,"World War II, Memorial Day, Edwin Englehart, Wyoming Peach Festival",
339,186,Bibliographies - Delaware,Bibliographies - Delaware,,,Bibliography,
340,187,Archaeology,Miscellaneous articles and pamphlets,1929-1934,,"Archaeology, National Research Council",
341,187,Archaeology,"""Early Man at Holly Oak, Delaware"" by John C. Kraft and Ronald A. Thomas",,,"Archaeology, Holly Oak, John Kraft, Richard Thomas",
342,188,Delaware State College,"Contains ""The History of Delaware State College, The Origin Of The College""",,,"Delaware State College, Education",
343,189,"Ports, Delaware",Reference to Delaware entries in the Custom House Papers at the Historical Society of Pennsylvania,1765-1767,,"Ports, Custom House",
1811,722,"Woodburn, Kings Court, Hall House: The Houses and the People That Made Them Homes, A 200 Year History",Research paper by Margaret Raubacher Dunham,2001,3,"Woodburn, Governor's House",
1812,173,Chronological History of the Delaware Boundaries,Report from the Delaware Geological Survey.  Covers 1631-1994,1994,7,"Boundary, Penn, Baltimore, Dispute, Pennsylvania, Maryland, New Jersey",
1813,722,Governor's Library,Governor's Library left at Woodburn by Governor Peterson,1973,,,
1814,945,Porter/Warner Diary,"Diary transcript of a young farmer in the Smyrna area.  Describes weather, farming, social, and religious activities of a member of the Porter or Warner family",1876-1877,,"diary, Smyrna, weather, farming, religion, Centennial",
1815,946,Proprietary Rights Index,"Index  to Delaware land records,  from the Bureau of Land Records in Harrisburg.",1681-1776,,Patents,
1816,947,Pennsylvania German Society,Contents lists of the publications of the Society,,,,
1817,948,New Castle Historical Society,List of Records Owned by the New Castle Historical Society,,,"Land Records, Plots, Surveys, Warrants, Deeds, Mortgages",
1818,949,Slaughter Beach,"Milford Historical Society News Letter articles, ""Slaughter Beach - 1650-1998 Origins, Founders & Legends,"" ""Slaughter Beach - Becomes a Town - 1931""",1998,,Slaughter Beach,
1819,950,Chesapeake & Delaware Canal Bridge,"fact sheet, pin",ca. 1993,,"Chesapeake & Delaware Canal, St. Georges Bridge",
1820,951,Howard High School,Commencement program (copy),1911,,"Howard High School, blacks, African-Americans",
1821,952,Just a Memory,"Reminiscences by Mary Wilson Thompson.  Family history, anti-sufferage, mosquito control in Rehoboth, World War I",1937,,"Mary Wilson Thompson, Wilson family, anti-sufferage, mosquito control, Rehoboth, World War I",
1822,953,Cyrus H. Forwood Diary,"Transcription of the Diary of Cyrus H. Forwood, Company A, 2nd Delaware Regiment,  1 cd.",1861-1863,,"diary, Cyrus H. Forwood, Civil War",transcription of Reference Reels #91
1823,458,"Delaware ""Firsts"": Balloon Flight","article from The National Gazette describing balloon flight from Lancaster, over New Castle, and landing at Cooch's Mill",1834,2,"balloon, flight, New Castle, Cooch",
1824,954,Bank of Milford,"Paper Money, March/April 2005.  Contains article by Terry A. Bryan on ""The Bank of Milford, Delaware.""","2005, 2017",,"Bank of Milford, money",
1825,173,"Mason-Dixon Corner Stone, near Delmar","Program for dedication of boundary stone shelter, 1961; speech on the crownstone and shelter, n.d.;",1961,8,"boundary, Mason-Dixon, Maryland, Delaware",
1826,228,State Macroinvertebrate,newspaper article on designation of stonefly,2005,28,"State Symbols, stonefly",
1827,955,Delaware Public Health Lab,research notes on location and name changes of the Delaware Public Health Lab,2005,,"Public Health Lab, O'Neill Building,",
1828,956,Impeachment,"research notes on removal of Richard Cooper from the Supreme Court, 1816",2005,,"impeachment, Richard Cooper,",
1829,110,Kent County Sheriffs,Civil List.,1680-2005,26,"Civil List, Kent County Sheriff",
1830,656,"Public, Subscription and Community Schools","Centre Grove School, #26, List of Students",1859-1860,7,"Centre Grove School, Centreville, education,",
1831,656,"Public, Subscription and Community Schools","Letter from teacher Myra Sherman to student Walter H. Marshall, mentions Italian students, unidentified New Castle County school",1906,8,"schools, education,",
1832,180,American Revolution,"""The Role of the Delaware Continentals in the Battle of Camden, SC"" by Ralph Nelson",1995,2,"Revolutionary War, Battle of Camden",
1833,180,American Revolution,"""Journal of Thomas Anderson's 1st Delaware Regiment,"" May 6, 1780-April 7, 1782.",1780-1782,3,"Revolutionary War, Captain Kirkwood,",
344,190,"U.S. Corps of Engineers, Philadelphia, Pennsylvania",Manuscript letters from Delaware members of the U.S. Corps of Engineers,1886-1896,,U.S. Corp of Engineers,
345,191,Delaware 1782 Census,Manuscript census returns for all Delaware Hundreds,1782,,Delaware Census,
346,192,"List of Sussex County Wills, A - I",,,,Sussex County Wills,
347,193,Delaware Junior Miss Pageant 1969,"Schedule, contestant's entry form, and press releases",1969,,Delaware Junior Miss Pageant,
348,194,Recipe,Early manuscript recipe for a hot toddy,,,"Recipe, Hot Toddy",
349,195,Documents Relating to Middletown,Miscellaneous receipts and small plot,1797-1799,,Middletown,
350,196,Inventories/ 18th Century,"""Eighteenth-Century Inventories"" by Diana Ross McCain and Dione Longley",1989,,Inventories,
351,197,Dagsboro,"""Historic Find at Dagsboro, Delaware"" by W. Vernon Steen, also excerpts from the journals of Rev. Lewis Wheeler Wells, who served as Rector of St. Mark's, Millsboro",,,"Dagsboro, Millsboro, St. Mark's, W. Vernon Steen, Lewis Wells",
352,198,"Delaware, Description of - Translation from French Map",Translation from a French map of Delaware,,,Delaware Map,
353,199,State Auditor,,,,State Auditor,
354,200,New Castle County - List of Freeholders 1774,Transcript of 1774 New Castle County List of Freeholders,1774,,"New Castle County, Freeholders, Census, Taxes",
355,310,Mancus Informer,"Newsletter ""The Mancus Informer""",1975-1976,,"Mancus Informer, Foundation",
356,311,Opera House News,Newsletter of the Wilmington Opera House,1974-1975,,Wilmington Opera House,
357,312,Delaware Blue Cross and Blue Shield,Delaware Blue Cross and Blue Shield annual reports,"1954, 1967",,"Delaware Blue Cross and Blue Shield, Health Care",
358,313,Historic Delaware Sites,"Correspondence regarding ""Historic Delaware Sites""",1930,,Historic Delaware Sites,
361,316,Delaware Histories,Miscellaneous histories and correspondence regarding the history of the state of Delaware,,,"Delaware History, Scharf",
365,320,"Friends Hall of Records, Philadelphia",List of Wilmington Society of Friends records in the Friends Hall of Records in Philadelphia,,,"Wilmington Society of Friends, Quakers",
366,321,Declaration of Independence,Facsimiles of the Declaration of Independence,,,Declaration of Independence,
367,321,Declaration of Independence,Facsimiles of the Declaration of Independence,,,Declaration of Independence,
368,322,Newspaper Checklist,Union list of Delaware Newspapers,,1,Newspapers,
369,322,Newspapers,"Miscellaneous newspapers, includes ""The Press of Delaware: Its Origin and Growth.""","1854, 1856, 1888-1889",2,"Newspapers, Delaware State Report, The Wilmington Holiday Visitor, Public Ledger",
370,322,Newspapers,Miscellaneous newspapers,"1861, 1917, 1918",3,"Newspapers, The Commonwealth, Delaware Pilot, Sussex Republican",
371,322,Ulster County Gazette,Facsimile of the Ulster County Gazette,1800,4,"Newspapers, Ulster County Gazette",
372,323,Newspaper,Photostat of the Public School Herald,1876,,"Newspapers, Public School Herald",
373,324,Occupations,List of occupation found in the Kent County Archives Deeds collection,,,Occupations,
374,325,Hale-Byrnes House,"Article ""Hale-Byrnes House Turned Over t State""",1971,,"Hales, Byrnes House, Stanton",
375,326,Place Names,"""A List of Place In Delaware Showing Their Former Names""",,,Delaware Place Names,
1091,940,Delaware Soldiers Buried in Out-of-State Cemeteries,"Hampton National Cemetery, Hampton, VA, 1862-1945, 4 pages.",,,"Soldiers, Veterans, cemetery",
1092,941,Reminiscences by Mary S. Handy,description of life and family in the Bethel area,ca. 1783-early 1900's,,"Bethel, Bell family, school, church",
455,353,Bradford - Loockerman House,"List of ""artifacts"" from the Bradford House sold at auction on April 27, 1977",1977,,"Bradford, Loockerman House, Dover",
456,354,D.A.R. Lineage Books,"""List of Lineage Books presented by the Delaware Society of the Daughters of the American Revolution""",1938,,DAR Lineage Books,
457,355,Lewes Tercentenary,"Miscellaneous, includes a history of St. Peter's Church",,,"Lewes Tercentenary, Saint Peter's Church, Atlantic Hotel",
458,356,Newark Academy,"Miscellaneous, includes a brief history of Newark Academy",,,"Newark Academy, University of Delaware",
459,357,"Lewes, Delaware - data from D.L. Mustard's papers",Information transcribed from D.L. Mustard's papers concerning the history of Lewes,,,"Lewes, D.L. Mustard",
460,358,Civil War,"Booklets, pamphlets, letters, photo and Senate Journal.  Resolutions by the Appoquinimink Hundred Union Meeting.  U. S. Internal Revenue Annual Assessment of 1863. Torbert Guards Fourth Anniversary menu",,,"Civil War, Fort Delaware, Military",
